,rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
100,m/zootopia,Allyson Johnson,False,The Young Folks,Fresh,9.0,2016-03-06,"From the enormity of the world building, the slick animation, the enthusiastic voice work done by a sprawling cast and a script that's intelligent and warm, Zootopia is already shaping up to be a highlight of the 2016 cinematic year."
101,m/zootopia,Laura Clifford,False,Reeling Reviews,Fresh,7.0,2016-03-06,"What an unexpected surprise, a Disney animation with Orwellian anthropomorphic political allegory and a film noir backdrop not seen since Roger Rabbit was framed."
102,m/zootopia,Stephen Silver,False,EntertainmentTell,Fresh,9.0,2016-03-07,"Exciting visuals, good characters, lots of laughs and even a timely allegory about American race relations. (Splice Today)"
103,m/zootopia,Susan Granger,False,SSG Syndicate,Fresh,10.0,2016-03-07,"The Mouse House may win the gold for Best Animated Feature in 2017 for this intrepid, action-packed comedy/police procedural parable."
104,m/zootopia,Frederic and Mary Ann Brussat,False,Spirituality & Practice,Fresh,6.0,2016-03-08,A spunky 3-D animated film about a bunny whose life is energized by big dreams and rock-solid optimism.
105,m/zootopia,John Hanlon,False,John Hanlon Reviews,Fresh,8.75,2016-03-09,"Reminiscent of ""Toy Story"" in its ability to create a wonderfully colorful world of its own, ""Zootopia"" is a fun film with undeniably important themes about diversity, inclusion and self-worth."
106,m/zootopia,Lou Lumenick,True,New York Post,Fresh,10.0,2016-03-10,Zootopia excels on so many levels that it stands with the finest of the Disney classics.
107,m/zootopia,Matt Patches,False,Thrillist,Fresh,7.199999999999999,2016-03-11,Impressionable kids and adults who swear they're progressive will both take something away from Zootopia.
108,m/zootopia,Ken Hanke,False,"Mountain Xpress (Asheville, NC)",Fresh,9.0,2016-03-13,"Gorgeous to look at, clever, funny and with a solid and atmospheric mystery at its core. But there's more here in the film's timely and relevant thematic content."
109,m/zootopia,Philippa Hawker,True,The Age (Australia),Fresh,7.0,2016-03-16,"The tale of a plucky rabbit and a sly fox, it's also a meditation on human nature, civil society and the politics of stereotyping. And it has great sloth jokes."
110,m/zootopia,Craig Mathieson,False,The Sunday Age,Fresh,8.0,2016-03-16,"In this zippy and entertaining children's animation that comes with an unusually thoughtful commentary on inclusion and discrimination, the animals don't just come out in the city at night, they literally run it during the day."
111,m/zootopia,Liam Maguren,False,Flicks.co.nz,Fresh,8.0,2016-03-17,Threatens to blow away Shane Black's The Nice Guys for Best Buddy-Cop Film of 2016.
112,m/zootopia,Donald Clarke,False,Irish Times,Fresh,8.0,2016-03-17,"Zootropolis has a plot you can really, ahem, sink teeth into."
113,m/zootopia,Michael Smith,False,Tulsa World,Fresh,8.75,2016-03-17,Wildly entertaining.
114,m/zootopia,Matt Neal,False,ABC Radio (Australia),Fresh,9.0,2016-03-17,"A surprisingly sharp examination of racial profiling, prejudice, equality and stereotyping, and how often can you say that about a kids movie?"
115,m/zootopia,Tim Martain,False,The Mercury (Australia),Fresh,10.0,2016-03-18,"Much like George Orwell used animals as an allegory for communism and social inequality, Disney has used Zootopia to deliver a story about prejudice and intolerance."
116,m/zootopia,Leigh Paatsch,False,Herald Sun (Australia),Fresh,8.0,2016-03-18,"A lively and universally accessible story is set in an idealised, human-free future where animals of all species have learned to live as one."
117,m/zootopia,Matthew Toomey,False,ABC Radio Brisbane,Fresh,9.0,2016-03-19,"Stepping back from the movie's key themes, the creative team behind the project deserve praise for crafting a fun, complex world."
118,m/zootopia,Jean Lowerison,False,ReviewExpress.com,Fresh,10.0,2016-03-20,It's a delight. Don't miss it.
119,m/zootopia,Pablo Villaça,False,Cinema em Cena,Fresh,8.0,2016-03-21,"The film gracefully deals with the contradiction between what we feel, who we are and what we let other people see. [Full review in Portuguese.]"
120,m/zootopia,Paul Whitington,False,Irish Independent,Fresh,6.0,2016-03-21,"Zootropolis takes the form of a jovial noir thriller, is nicely voiced by the likes of Jason Bateman and Ginnifer Goodwin and should go down very well with the smaller viewer."
121,m/zootopia,Aine O'Connor,False,Sunday Independent (Ireland),Fresh,8.0,2016-03-21,Bright and mostly brilliant.
122,m/zootopia,Neil Smith,False,Total Film,Fresh,8.0,2016-03-21,"No instant Disney classic, but a fast and furry-ious caper with endless gags, a fizzy fox-bunny double act and Shakira as a singing gazelle."
123,m/zootopia,David 'Mad Dog' Bradley,False,Rip It Up,Fresh,6.0,2016-03-23,"This has enough light wit and gooey sentiment for Disney groupies, and yet it does leave many unanswered questions."
124,m/zootopia,Richard von Busack,False,MetroActive,Fresh,10.0,2016-03-23,"It acknowledges problems that no bumper-sticker can patch over, and yet it leaves room for an exploration of a seriously charming world."
125,m/zootopia,Martin Roberts,False,Fan The Fire,Fresh,8.0,2016-03-23,"The voice cast are all on enjoyable form, and the storyline, once it kicks into gear, is not simply a vehicle for the message of the film, but an enjoyable caper in its own right, full of motion and invention."
126,m/zootopia,Nigel Andrews,True,Financial Times,Fresh,8.0,2016-03-23,"Just relish the zingy jokes and in-jokes; a slow-burn dialogue scene with sloths that's an instant classic; the elastic character animation; and the pacy, racy disrespect for PC of all hues and flavours."
127,m/zootopia,Stefan Pape,False,HeyUGuys,Fresh,8.0,2016-03-23,"Directors Byron Howard and Rich Moore have crafted this environment in a meticulous fashion, with a striking attention to detail, painting a comprehensive picture of this universe we're inhabiting."
128,m/zootopia,Alex Zane,False,The Sun (UK),Fresh,8.0,2016-03-24,The voice cast is perfect - especially Bateman - and there are some cracking action scenes too. Superb family film.
129,m/zootopia,Tim Evans,False,Sky Cinema,Fresh,8.0,2016-03-24,An animated outing that propels Disney's historical success at anthropomorphisation to new heights.
130,m/zootopia,Wendy Ide,True,Guardian,Fresh,8.0,2016-03-24,The animation is first rate - fur is rendered so realistically that it could trigger an allergy at 50 paces - but it is the writing that elevates the picture.
131,m/zootopia,Kevin Maher,True,Times (UK),Fresh,8.0,2016-03-24,"There's a magical moment in every movie of quality, a reciprocal bond between screen and viewer, where your shoulders happily drop, you sink deeper into your seat and your soul secretly smiles because it knows that you are in the safest of hands."
132,m/zootopia,Amy West,False,International Business Times,Fresh,9.0,2016-03-24,It's easy to see why the studio is back at the top of its game and proves its still the master of producing films both children and adults will engage with.
133,m/zootopia,Rob Carnevale,False,Indie London,Fresh,8.0,2016-03-24,"For the young and innocent minded, there's plenty of knockabout fun and slapstick humour to enjoy, coupled with a timely message about tolerance and integration, while pop culture references abound for adults and film fans to savour."
134,m/zootopia,John Nugent,False,Empire Magazine,Fresh,8.0,2016-03-24,"The fictional universe it presents - a human-free world where mammals have evolved into a bustling, civilised society - is vividly realised, richly detailed and very funny."
135,m/zootopia,Robbie Collin,True,Daily Telegraph (UK),Fresh,8.0,2016-03-24,"One of the film's great strengths is the trust it puts in its young audience to decode its complex, nuanced message about the value of difference."
136,m/zootopia,Jason Best,False,Movie Talk,Fresh,8.0,2016-03-25,Cute and clever in equal measure.
137,m/zootopia,Walter Chaw,False,Film Freak Central,Fresh,7.5,2016-03-26,"The illness in our society comes from the artificial stratification, and defensive denial, of original difference."
138,m/zootopia,Alistair Harkness,False,Scotsman,Fresh,8.0,2016-03-27,"A pretty sophisticated meditation on race relations dressed up as a delightfully entertaining, gag-packed and inventively plotted police procedural."
139,m/zootopia,Charlotte O'Sullivan,True,London Evening Standard,Fresh,8.0,2016-03-27,The film feels like a riposte to Trump-ism. It also contains some of the best sloth-related humour you will ever see.
140,m/zootopia,David Edwards,False,Daily Mirror (UK),Fresh,8.0,2016-03-27,"Here's a great-looking, emotionally engaging and enormously entertaining movie guaranteed to delight kids and adults alike."
141,m/zootopia,Allan Hunter,False,Daily Express (UK),Fresh,8.0,2016-03-27,The latest Disney animated feature may not be a classic but it is full of bright ideas and funny one-liners.
142,m/zootopia,Henry Fitzherbert,False,Daily Express (UK),Fresh,10.0,2016-03-27,The friendship between predator and prey stands as a powerful rebuke to Donald Trump.
143,m/zootopia,Mark Kermode,False,Observer (UK),Fresh,8.0,2016-03-27,An encouragingly upbeat celebration of love and diversity in times of hate and uncertainty.
144,m/zootopia,Marija Djurovic,False,Cairo360,Fresh,7.0,2016-03-28,"Clever, funny and refreshingly bold, its message is endearing and engaging, without falling into sentimentality."
145,m/zootopia,Kevin A. Ranson,False,MovieCrypt.com,Fresh,10.0,2016-03-29,...manages an incredible balancing act having fun with their high concept while taking nothing away from the seriousness of their story. Prejudice 101 - for kids of all ages.
146,m/zootopia,Ali Gray,False,TheShiznit.co.uk,Fresh,10.0,2016-03-31,It is its own cinematic zooniverse.
147,m/zootopia,David Keyes,False,Cinemaphile.org,Fresh,7.5,2016-04-01,How refreshing it is to see an animated movie that takes the initiative to climb above the restrictions of its formula.
148,m/zootopia,Geoffrey Macnab,True,Independent (UK),Fresh,8.0,2016-04-01,The genius of the film lies in its combination of traditional Disney characters and situations with a very subversive storytelling style.
149,m/zootopia,Rich Cline,False,Contactmusic.com,Fresh,7.0,2016-04-01,"The filmmakers behind Tangled and Wreck-it Ralph join forces for this entertaining animated action comedy, which has clearly been planned as a franchise-launcher."
150,m/zootopia,Josh Larsen,False,LarsenOnFilm,Fresh,7.5,2016-04-02,Done with creativity and wit ... but still has the stridency of a lesson plan.
151,m/zootopia,Mahmoud Mahdy,False,FilmGamed,Fresh,9.0,2016-04-04,"Zootopia is the best Disney animated movie, either with Pixar or without it, since Toy Story 3 in 2010."
152,m/zootopia,Linda Cook,False,"Quad City Times (Davenport, IA)",Fresh,10.0,2016-04-05,"'Zootopia' is a brilliant, funny story about bias, empowerment and understanding. And oh, how it entertains while it tells the tale"
153,m/zootopia,Richard James Havis,False,South China Morning Post,Fresh,7.0,2016-04-05,"Although it would be stretching things to describe Zootopia as a metaphor for modern society, its underlying message of racial tolerance is a useful lesson for everyone."
154,m/zootopia,Robert Roten,False,Laramie Movie Scope,Fresh,10.0,2016-04-06,This is the best animated film I've seen since 'The Incredibles.'
155,m/zootopia,J. Olson,False,Cinemixtape,Rotten,5.0,2016-04-07,"If the film is superficially great, a plastered-over screenplay lurks just beneath, poking its ugly head out early and often."
156,m/zootopia,Francesca Rudkin,False,New Zealand Herald,Fresh,8.0,2016-04-07,"What's so clever about Zootopia is it takes the normal feel-good positive messages, this time about not judging people by their sex or race, and mixes it with something more mature, a vintage Los Angeles-like crime noir."
157,m/zootopia,John Beifuss,False,"Commercial Appeal (Memphis, TN)",Fresh,8.75,2016-04-11,"Believe it: Disney's latest digitally animated feature is a contra-Trumpian, race-conscious, political-conspiracy neo-noir in the guise of a funny talking-animal cartoon."
158,m/zootopia,John Serba,False,MLive.com,Fresh,6.25,2016-04-11,"""Zootopia"" is a vibrant and smart movie... at times, though, it feels more like commercial compromise than the distinctive art of superior animated works."
159,m/zootopia,Blake Howard,False,Graffiti With Punctuation,Fresh,8.0,2016-04-12,Zootopia remembers the power of George Orwell's Animal Farm and gives it a Disney digital system upgrade and brings it to the 21st Century.
160,m/zootopia,David Crow,False,Den of Geek,Fresh,8.0,2016-05-08,... a deceptively clever movie that has timely lessons for all generational demographics.
161,m/zootopia,Harry Guerin,False,RTÉ (Ireland),Fresh,7.0,2016-05-12,There's plenty of charm and a decent plot to keep things moving.
162,m/zootopia,Jim Schembri,False,3AW,Fresh,8.0,2016-05-14,The dazzling design of Zootopia offers a non-stop stream of invention and visual wit that perfectly enhances a surprisingly involving plot...A gleaming gem of a film.
163,m/zootopia,Boon Chan,False,The Straits Times (Singapore),Fresh,7.0,2016-05-25,"For all the animal antics on display here, the movie also gently broaches all-too-human issues of stereotyping, prejudice and racism. This is something worthwhile to chew over, even for younger audiences."
164,m/zootopia,Wesley Lovell,False,Cinema Sight,Fresh,10.0,2016-06-20,A perfect embodiment of the kind of fable Aesop used to tell.
165,m/zootopia,James Kendrick,False,Q Network Film Desk,Fresh,7.5,2016-06-20,a fast and funny fable about the need for tolerance and understanding in a world in which fear and prejudice are more convenient
166,m/zootopia,Tim Brayton,False,Antagony & Ecstasy,Fresh,7.0,2016-07-10,"It is much too willing to abandon boundless creativity to wallow in an endless succession of overfamiliar narrative constraints. But at the same time, it uses those constraints generally quite well."
167,m/zootopia,Ben Rawson-Jones,False,Digital Spy,Fresh,10.0,2016-07-11,Using the animal kingdom as a means to convey so much sense about our own contemporary world is a masterstroke which owes a debt to George Orwell.
168,m/zootopia,Roxana Hadadi,False,Chesapeake Family Magazine,Fresh,7.0,2016-08-02,"Zootopia pulls together various elements - a neo-noir mystery, a buddy-cop comedy, and timely social themes - into a mostly entertaining animated film."
169,m/zootopia,Sara Michelle Fetters,False,MovieFreak.com,Fresh,7.5,2016-08-15,It's a total hoot.
170,m/zootopia,Fico Cangiano,False,CineXpress,Fresh,8.0,2016-08-18,One of Disney's best movies in past years. [Full review in Spanish]
171,m/zootopia,Philip Martin,False,Arkansas Democrat-Gazette,Fresh,8.8,2016-08-26,"...an Animal Farm-type fable about racism and sexism -- a shrewd and timely critique of fear-based politics set in a remarkably detailed, endlessly fascinating alternate universe."
172,m/zootopia,Dan Lybarger,False,Arkansas Democrat-Gazette,Fresh,8.6,2016-11-14,The [DMV} sequence is so funny that it's oddly forgivable that the rest of Zootopia rarely matches up to that comic plateau.
173,m/zootopia,Christopher Schobert,False,Buffalo News,Rotten,6.25,2016-12-05,"In its attempt to please both children and adults equally, Zootopia is a failure."
174,m/zootopia,Nathaniel Rogers,False,The Film Experience,Fresh,7.0,2016-12-30,The detective story is actually engaging. It's simple enough to follow (for kids) but complicated enough to offer both genuine surprises and silly amusing detours.
175,m/zootopia,James Croot,False,Stuff.co.nz,Fresh,9.0,2016-12-30,Perfect school holiday entertainment for the whole family.
176,m/zootopia,Sarah Watt,False,Stuff.co.nz,Fresh,9.0,2016-12-30,"Much of Zootopia's charm results from its wonderful animation and captivating energy, but at heart it's the witty, insightful script around deeper socio-political issues which makes it truly satisfying for any grown-up who goes to see it."
177,m/zootopia,Sean P. Means,False,Salt Lake Tribune,Fresh,7.5,2016-12-30,A smart four-footed spin on the buddy-cop genre.
178,m/zootopia,Soumya Srivastava,False,Hindustan Times,Fresh,8.0,2016-12-30,Zootopia has great voice performances from Ginnifer Goodwin and Jason Bateman who suit their characters perfectly.
179,m/zootopia,Bill Gibron,False,PopMatters,Fresh,8.0,2016-12-30,"Zootopia is a blast to watch, a wonderful cartoon experience with an extra bit of gravitas for spice and flavor."
180,m/zootopia,Andy Lea,False,Daily Star (UK),Fresh,10.0,2016-12-30,The film's messages -- the importance of tolerance and following your dreams -- are pretty standard for a kiddie flick. But there's a political edge that is very unusual for a Disney movie.
181,m/zootopia,Jamie Neish,False,CineVue,Fresh,8.0,2016-12-30,An entertaining and endlessly inventive comedy and something with more insight than anyone could have anticipated.
182,m/zootopia,Melissa Starker,False,Columbus Alive,Fresh,7.5,2016-12-30,"[A] colorful, nicely crafted, perfectly voice-cast animated feature."
183,m/zootopia,Margot Harrison,False,Seven Days,Fresh,8.0,2017-01-01,"Zootopia is a bouncy, candy-colored animation, not an overt political allegory, yet it's an apt movie for this primary season."
184,m/zootopia,Brooke Corso,False,"The Monitor (McAllen, TX)",Fresh,7.0,2017-08-14,"From the first scene of ""Zootopia,"" Disney's latest animated film, the moral is made clear: to moralize is good, but to bust one's chops is better."
185,m/zootopia,tt stern-enzi,False,Cincinnati CityBeat,Fresh,9.0,2017-09-13,Zootopia appears posed to rule the roost with all members of the family as we sprint free of the Oscars.
186,m/zootopia,Matthew Bond,False,The Mail on Sunday (UK),Fresh,8.0,2017-10-24,"The animation is stunning, the screenplay as amusing as it is clever, and the voicework -- led by Ginnifer Goodwin, Horrible Bosses star Jason Bateman and our own Idris Elba -- is top-notch."
187,m/zootopia,Robert Kojder,False,Flickering Myth,Fresh,10.0,2017-12-04,"Someone needs to break into Donald Trump's home, kidnap him, sit him down in his own personal theater, clamp materials to his eyelids A Clockwork Orange style so they remain open, and play Zootopia on a loop until the themes and messages sink in"
188,m/zootopia,Eli Glasner,False,CBC News,Fresh,7.0,2018-03-21,"It's surprisingly sophisticated, finding new ways to get us to look past stereotypes."
189,m/zootopia,Deirdre Crimmins,False,Cinematic Essential,Rotten,6.0,2018-08-30,It just never fully settles into its own message or visual style.
190,m/zootopia,Daniel Barnes,False,Sacramento News & Review,Fresh,6.0,2018-10-22,"Pixar has set a high bar for films about anthropomorphized critters, inanimate objects, artificial intelligences and abstract concepts, too high for a harmless but only marginally clever time-filler like Zootopia to fully hurdle."
191,m/zootopia,Jennifer Heaton,False,Alternative Lens,Fresh,9.0,2018-11-01,"Of all the phrases I thought I'd use to describe Zootropolis, I never thought 'socially relevant' would be one of them."
192,m/zootopia,Colby Bryant,False,Geeks Under Grace,Fresh,9.5,2018-12-07,"Zootopia works masterfully on multiple levels: an enjoyable comedy, a competent detective story, and a reflection of our world with its various complicated problems."
193,m/zootopia,James Clay,False,Fresh Fiction,Fresh,9.0,2018-12-10,"ZOOTOPIA is not a glimmering beacon of light for activists around the world, but it sure is a nice little lesson for everybody to enjoy."
194,m/zootopia,Micheal Compton,False,Bowling Green Daily News,Fresh,9.0,2019-01-15,This is a world that I enjoyed visiting -- and wouldn't mind revisiting sometime in the future.
195,m/zootopia,Allen Adams,False,The Maine Edge,Fresh,10.0,2019-02-20,"Even without the complexity of its message, Zootopia would be a worthwhile addition to the Disney canon; the characters are great, the world is fascinating and the narrative is top-notch."
196,m/zootopia,Rachel Wagner,False,rachelsreviews.net,Fresh,10.0,2019-02-21,The world building is remarkable and full of surprises.
197,m/zootopia,Mae Abdulbaki,False,Movies with Mae,Fresh,9.0,2019-04-05,"""Zootopia"" includes all the elements of a well-rounded, memorable story that strikes a range of emotional chords. It has lovable characters, witty dialogue, creativity, a great soundtrack and significant themes that resonate with audiences."
198,m/zootopia,Ryan Syrek,False,"The Reader (Omaha, NE)",Fresh,7.0,2019-07-09,"A review eviscerating the film would make as much sense as one praising it, so it comes down to a coin-flip judgment call; let's go with the optimistic view that kids hear ""stereotypes and fear of others is bad"" and adults reinforce that message."
199,m/zootopia,Karl Delossantos,False,Smash Cut Reviews,Fresh,8.5,2019-08-08,Like the best animated movies it mixes social subtext with genuinely hilarious moments and interesting characters.
200,m/zootopia,Kate Rodger,False,Newshub (NZ),Fresh,10.0,2019-08-31,"Fresh, clever and squeal-level funny, Zootopia was just as brilliant on second viewing and no doubt will be for repeat ad nausea."
201,m/zootopia,Leslie Combemale,False,Cinema Siren,Fresh,10.0,2019-10-22,"There's so much to see, and so many little touches, that those who fall in love with it upon first viewing, and there will be many, will likely come back over and over."
202,m/zootopia,Sarah Knight Adamson,False,Sarah's Backstage Pass,Fresh,10.0,2020-01-23,Zootopia is one of Disney's best films to date and my favorite film of the year so far. It's family friendly and teaches kids so many great life lessons.
203,m/zootopia,Yasser Medina,False,Cinemaficionados,Fresh,7.0,2020-06-26,"As entertainment it is a very funny animated film with the fable of Judy, the new heroine of Disney. [Full review in Spanish]"
204,m/zootopia,Brent McKnight,False,The Last Thing I See,Fresh,10.0,2020-07-03,"Zootopia is a spectacular achievement on every level. It's a big, bold adventure in a remarkably rendered universe steeped in popular culture, a touching story of unlikely friendship, and a sharp critique of modern society."
205,m/zootopia,Allen Almachar,False,The MacGuffin,Fresh,7.0,2020-07-13,"It's colorful, fun, and has a good message. Will I remember it tomorrow? Probably not, but that doesn't mean I didn't like it today."
206,m/zootopia,Danielle Solzman,False,Solzy at the Movies,Fresh,10.0,2020-09-24,Zootopia is the rare animated Disney film that feels like it was made for adults almost as much as children.
